Agency Name,Tone A,Tone B
EMS COORD UHF,09032,05390
FIRE COORD UHF,11534,05246
FIRE POLICEUHF,06009,14334
JKSN FD ALL,12858,04705
LBI All Call,09799,00000
OEM Municipal,04108,09537
OEM/ OC Support,04337,10924
SQ 11/ALL,06158,08710
SQ 11/DUTY,06158,6720
SQ 12 ALL (current),05848,11852
SQ 13/UHF/ALL,05848,12178
SQ 13/UHF/DUTY,05848,03890
SQ 14/ALL*,05848,11225
SQ15 ALL,05848,12858
SQ15 DUTY,05848,04337
SQ 20 ALL UHF,06174,11225
SQ 21/ALL,25750,15980
SQ 21/DUTY,25750,15980
SQ 23/UHF/ALL,06174,12178
SQ 23/UHF/DUTY,06174,03890
SQ 24/ALL,25750,19010
SQ 24/DUTY,25750,19010
SQ 26/UHF/ALL,06174,13212
SQ 26/UHF/DUTY,06174,04579
SQ 27/ALL,23610,18200
SQ 27/DUTY,23610,18200
SQ 29/ALL,25750,09920
SQ 29/DUTY,25750,07650
SQ 30/ALL,06519,11225
SQ 31/ALL,25750,16690
SQ 31/DUTY,25750,16690
SQ 34/ALL,09537,07160
SQ 35/ALL,10370,11520
SQ 37/ALL UHF,06519,13576
SQ 37/DUTY UHF,06519,04835
SQ 38/ALL,09500,08710
SQ 38/DUTY,09500,07990
SQ 40/ALL,11800,09920
SQ 40/DUTY,11800,08710
SQ 42/ALL,06158,15300
SQ 42/DUTY,06158,17430
SQ 43/ALL,25750,04958
SQ 43/DUTY,25750,29320
SQ 44/UHF/ALL,06883,09799
SQ 46 ALL UHF,06883,13212
SQ 47 PGR UHF,06883,13576
SQ 49 ALL LBI,06883,14334
SQ 49 DTY LBI,06883,05390
SQ 54,07268,04108
SQ 55 ALL,07268,12858
SQ 85/ALL,03586,03217
SQ 85/DUTY,03586,04221
STN 11 PGR UHF,11534,05848
STN 12 DVR UHF,11534,03586
STN 12 PGR UHF,11534,06174
STN 13/ALERT,11534,06519
STN 13/SIREN,11534,03786
STN 14 PGR UHF,11534,06883
STN 15 PGR VHF,11534,07268
STN 16 PGR UHF,11534,07674
STN 17 PGR UHF,11534,08102
STN 18 PGR UHF,11534,08555
STN 19 FIREMAR,11534,09032
STN 19 K-9,11534,9281
STN 20 PGR UHF,11852,05539
STN 20 PGR RUST,11852,3217
STN 25-26 ALRT,24650,06430
STN 25-30 Gen Alrm,06430,00000
STN 27/ALERT,19850,06430
STN 28/ALERT,16690,06430
STN 29/ALERT,11300,06430
STN 30/ALERT,15300,06430
STN 32 PGR UHF,12178,06174
STN 33 PGR UHF,12178,06519
STN 34 PGR UHF,12178,06883
STN 35 PGR UHF,12178,07268
STN 36 PGR UHF,12178,07674
STN 37 PGR UHF,12178,08102
STN 38 PGR UHF,12178,08555
STN 39 PGR UHF,12178,09032
STN 75/ALERT,19010,11800
STN 43/ALERT,09537,08555
STN 44 PGR UHF,11225,06883
STN 45 PGR UHF,11225,07268
STN 46 PGR LBI,11225,07674
STN 47 OFFICER,11225,04705
STN 47 PGR UHF,11225,08102
STN 48 PGR UHF,11225,08555
STN 49 PGR LBI,11225,09032
STN 50 PGR UHF,12858,05539
STN 50 EMS UHF,12858,03217
STN 51 PGR LBI,12858,05848
STN 52 PGR UHF,12858,06174
STN 53 PGR UHF,12858,06519
STN 54/PGR UHF,12858,06883
STN 55/PGR UHF,12858,07268
STN 56/PGR UHF,12858,07674
STN 57/PGR UHF,12858,08102
STN 59 PGR UHF,12858,09032
STN 60 PGR UHF,13212,05539
STN 61 PGR UHF,13212,05848
STN 62 PGR UHF,13212,06174
STN 63 PGR UHF,13212,06519
STN 69 PGR UHF,13212,09032
STN 70 PGR UHF,13576,05539
STN 71 PGR UHF,13576,05848
STN 72 PGR UHF,13576,06174
STN 85 PGR UHF,13950,07268